0.4,0.5,625,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,624,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,623,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,622,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,621,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,620,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,619,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,618,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,617,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,616,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,615,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,614,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,613,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,612,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,611,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,610,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,609,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,608,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,607,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,606,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,605,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,604,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,603,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,602,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,601,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,600,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,599,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,598,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,597,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,596,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,595,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,594,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,593,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,592,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,591,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,590,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,589,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,588,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,587,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,586,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,585,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,584,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,583,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,582,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,581,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,580,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,579,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,578,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,577,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,576,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,575,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,574,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,573,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,572,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,571,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,570,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,569,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,568,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,567,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,566,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,565,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,564,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,563,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,562,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,561,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,560,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,559,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,558,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,557,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,556,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,555,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,554,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,553,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,552,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,551,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,550,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,549,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,548,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,547,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,546,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,545,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,544,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,543,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,542,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,541,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,540,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,539,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,538,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,537,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,536,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,535,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,534,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,533,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,532,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,531,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,530,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,529,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,528,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,527,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,526,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,525,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,524,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,523,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,522,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,521,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,520,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,519,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,518,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,517,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,516,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,515,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,514,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,513,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,512,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,511,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,510,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,509,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,508,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,507,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,506,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,505,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,504,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,503,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,502,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,501,10,250,75,3.83941e-012,3.83941e-012
0.4,0.5,500,10,250,75,3.83941e-012,3.83941e-012
